t,raw
37846.0,-0.8424701
37847.0,-0.7584504
37848.0,-0.7365909
37849.0,-1.0810672
37850.0,-1.0169108
37851.0,-0.7143009
37852.0,-0.8528224
37853.0,-0.89388865
37854.0,-1.1026102
37855.0,-0.8569376
37856.0,-0.6549611
37857.0,-0.6457806
37858.0,-0.64793885
37859.0,-0.44585595
37860.0,-0.100804485
37861.0,0.27557403
37862.0,0.49106908
37863.0,0.41260487
37864.0,0.0153958555
37865.0,-0.15423009
37866.0,-0.3004397
37867.0,-0.18662322
37868.0,-0.45820612
37869.0,-0.761174
37870.0,-0.562781
37871.0,-0.24783328
37872.0,-0.578044
37873.0,-0.45267215
37874.0,-0.5081024
37875.0,-0.4005322
37876.0,-0.32944447
37877.0,-0.049180187
37878.0,0.11400177
37879.0,-0.0005198334
37880.0,0.14202686
37881.0,0.404309
37882.0,0.10839123
37883.0,0.18707325
37884.0,0.18425389
37885.0,0.1667536
37886.0,0.412674
37887.0,0.39575547
37888.0,0.63520205
37889.0,0.38557315
37890.0,-0.12961887
